k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed,cgil
6,1.0,0.0,100,328,0.545,0.0398,16,1.2316,Purity,4,4.0128
6,1.0,0.0,100,328,0.7591,0.0456,16,4.7784,Modularity,4,4.6189
6,1.0,0.0,100,328,0.7496,0.0419,16,5.9397,Silhouette,4,4.2562
6,1.0,0.0,100,328,0.7652,0.0547,16,3.8042,Graph_Performance,4,5.5201
6,1.0,0.0,100,328,0.4797,0.0356,16,3.1427,Entropy,4,3.5918
6,1.0,0.0,100,328,0.4793,0.0472,16,1.9754,Precision,4,4.7394
6,1.0,0.0,500,36254,0.344,0.0073,83,448.5137,Purity,4,0.8114
6,1.0,0.0,500,36254,0.2264,0.0074,83,461.9629,Precision,4,0.777
6,1.0,0.0,500,36254,0.2717,0.0072,83,486.5697,Entropy,4,0.7706
6,1.0,0.0,500,36254,0.7289,0.0036,83,1595.1819,Graph_Performance,4,0.8121
6,1.0,0.0,500,36254,0.737,0.003,83,3017.4654,Silhouette,4,0.7947
6,1.0,0.0,500,36254,0.7505,0.0044,83,3582.9638,Modularity,4,0.8683
6,1.0,0.0,100,328,0.4548,0.0472,16,2.2308,Normalized_Certainty_Penalty,4,4.7461
6,1.0,0.0,100,328,0.4566,0.0419,16,1.1318,Classification_Metric,4,4.2184
6,1.0,0.0,100,328,0.4793,0.0472,16,2.8163,SaNGreeA,4,4.7394
6,1.0,0.0,500,36254,0.2778,0.007,83,365.8864,Classification_Metric,4,0.7524
6,1.0,0.0,500,36254,0.2178,0.0074,83,349.5502,SaNGreeA,4,0.7758
6,1.0,0.0,500,36254,0.2133,0.0074,83,483.9563,Normalized_Certainty_Penalty,4,0.7719
6,1.0,0.0,100,328,0.7578,0.0352,16,1.2701,Discernibility,4,3.5979
6,1.0,0.0,500,36254,0.7352,0.007,83,455.7021,Discernibility,4,1.0167
6,1.0,0.5,100,328,0.5584,0.0288,16,1.2701,Purity,4,2.929
6,1.0,0.5,100,328,0.4873,0.0392,16,1.9599,Precision,4,3.9506
6,1.0,0.5,100,328,0.4625,0.0392,16,3.1139,Entropy,4,3.9497
6,1.0,0.5,500,36254,0.4166,0.0004,83,406.3809,Purity,4,0.4188
6,1.0,0.5,500,36254,0.2835,0.0027,83,433.8599,Precision,4,0.393
6,1.0,0.5,500,36254,0.2614,0.0076,83,503.0552,Entropy,4,0.8033
6,1.0,0.5,100,328,0.7591,0.0492,16,3.8013,Graph_Performance,4,4.9765
6,1.0,0.5,100,328,0.7555,0.0407,16,5.6912,Silhouette,4,4.1396
6,1.0,0.5,500,36254,0.7423,0.0023,83,1616.1136,Graph_Performance,4,0.7779
6,1.0,0.5,100,328,0.7613,0.0397,16,4.8744,Modularity,4,4.0384
6,1.0,0.5,100,328,0.5262,0.0379,16,1.1343,Classification_Metric,4,3.8233
6,1.0,0.5,100,328,0.5301,0.0377,16,2.8428,SaNGreeA,4,3.8044
6,1.0,0.5,100,328,0.4711,0.0376,16,2.2433,Normalized_Certainty_Penalty,4,3.786
6,1.0,0.5,500,36254,0.2534,0.0067,83,375.1681,Classification_Metric,4,0.7174
6,1.0,0.5,500,36254,0.4385,0.0002,83,355.7071,SaNGreeA,4,0.4389
6,1.0,0.5,500,36254,0.2279,0.0069,83,475.1531,Normalized_Certainty_Penalty,4,0.724
6,1.0,0.5,100,328,0.7429,0.0199,16,1.2493,Discernibility,4,2.1284
6,1.0,0.5,500,36254,0.7374,0.0025,83,3153.6069,Silhouette,4,0.7797
6,1.0,0.5,500,36254,0.7388,0.0001,83,388.1715,Discernibility,4,0.7389
6,1.0,0.5,500,36254,0.7447,0.0019,83,5221.2228,Modularity,4,0.7694
6,0.5,1.0,100,328,0.5885,0.0339,16,1.2637,Purity,4,3.4383
6,0.5,1.0,100,328,0.5041,0.023,16,1.9604,Precision,4,2.3547
6,0.5,1.0,100,328,0.4845,0.0369,16,3.1147,Entropy,4,3.7173
6,0.5,1.0,500,36254,0.4585,0.0001,83,388.7483,Purity,4,0.4588
6,0.5,1.0,500,36254,0.3626,0.0,83,401.5802,Precision,4,0.3626
6,0.5,1.0,500,36254,0.2623,0.0067,83,501.2855,Entropy,4,0.7218
6,0.5,1.0,100,328,0.7588,0.0479,16,3.7794,Graph_Performance,4,4.8503
6,0.5,1.0,100,328,0.5057,0.0378,16,1.1157,Classification_Metric,4,3.814
6,0.5,1.0,100,328,0.6096,0.0303,16,2.8821,SaNGreeA,4,3.0863
6,0.5,1.0,100,328,0.4913,0.036,16,2.2562,Normalized_Certainty_Penalty,4,3.6373
6,0.5,1.0,500,36254,0.7423,0.0023,83,1610.7925,Graph_Performance,4,0.7779
6,0.5,1.0,500,36254,0.521,0.0001,83,356.7735,SaNGreeA,4,0.5212
6,0.5,1.0,500,36254,0.2542,0.0059,83,374.7163,Classification_Metric,4,0.6386
6,0.5,1.0,500,36254,0.3004,0.0005,83,436.7016,Normalized_Certainty_Penalty,4,0.305
6,0.5,1.0,100,328,0.7555,0.0401,16,5.7478,Silhouette,4,4.0778
6,0.5,1.0,100,328,0.7401,0.0207,16,1.2601,Discernibility,4,2.2007
6,0.5,1.0,500,36254,0.7388,0.0001,83,385.5878,Discernibility,4,0.7389
6,0.5,1.0,100,328,0.7538,0.0271,16,4.8723,Modularity,4,2.8124
6,0.5,1.0,500,36254,0.7368,0.0032,83,3654.4602,Silhouette,4,0.8052
6,0.5,1.0,500,36254,0.7449,0.0019,83,5089.5684,Modularity,4,0.7695
10,1.0,0.0,100,328,0.6846,0.1263,10,1.6215,Purity,4,12.6488
10,1.0,0.0,100,328,0.556,0.1255,10,2.4866,Precision,4,12.5656
10,1.0,0.0,100,328,0.5541,0.1245,10,4.6352,Entropy,4,12.4601
10,1.0,0.0,500,36254,0.4704,0.033,50,701.6345,Purity,4,3.3287
10,1.0,0.0,500,36254,0.2976,0.0346,50,713.341,Precision,4,3.4744
10,1.0,0.0,500,36254,0.352,0.0319,50,782.3584,Entropy,4,3.2055
10,1.0,0.0,100,328,0.8131,0.0984,10,4.1231,Graph_Performance,4,9.8707
10,1.0,0.0,100,328,0.5874,0.1255,10,3.1246,SaNGreeA,4,12.5677
10,1.0,0.0,100,328,0.5696,0.1253,10,1.4458,Classification_Metric,4,12.5441
10,1.0,0.0,100,328,0.4822,0.1256,10,2.6957,Normalized_Certainty_Penalty,4,12.5689
10,1.0,0.0,500,36254,0.3017,0.0347,50,528.6945,SaNGreeA,4,3.4794
10,1.0,0.0,500,36254,0.3324,0.0303,50,614.3813,Classification_Metric,4,3.0518
10,1.0,0.0,500,36254,0.282,0.0334,50,756.0249,Normalized_Certainty_Penalty,4,3.3557
10,1.0,0.0,500,36254,0.7932,0.0111,50,1943.9392,Graph_Performance,4,1.3642
10,1.0,0.0,100,328,0.8237,0.1221,10,1.5822,Discernibility,4,12.2328
10,1.0,0.0,500,36254,0.8082,0.0332,50,762.8548,Discernibility,4,3.4199
10,1.0,0.0,100,328,0.8152,0.0858,10,8.6209,Silhouette,4,8.619
10,1.0,0.0,500,36254,0.7977,0.0187,50,3384.718,Silhouette,4,2.0331
10,1.0,0.0,100,328,0.8172,0.097,10,5.3484,Modularity,4,9.7381
10,1.0,0.0,500,36254,0.8087,0.013,50,18899.8662,Modularity,4,1.5332
10,1.0,0.5,100,328,0.6974,0.1249,10,1.6473,Purity,4,12.5113
10,1.0,0.5,100,328,0.5517,0.1208,10,2.4659,Precision,4,12.0909
10,1.0,0.5,100,328,0.5807,0.1266,10,4.6963,Entropy,4,12.6695
10,1.0,0.5,500,36254,0.5688,0.0008,50,669.4758,Purity,4,0.574
10,1.0,0.5,500,36254,0.3759,0.0077,50,713.4303,Precision,4,0.8566
10,1.0,0.5,500,36254,0.3393,0.0325,50,820.812,Entropy,4,3.2719
10,1.0,0.5,100,328,0.6273,0.103,10,3.1877,SaNGreeA,4,10.3142
10,1.0,0.5,100,328,0.5694,0.1258,10,1.4426,Classification_Metric,4,12.596
10,1.0,0.5,100,328,0.4892,0.1211,10,2.8025,Normalized_Certainty_Penalty,4,12.1204
10,1.0,0.5,500,36254,0.5176,0.0005,50,565.9114,SaNGreeA,4,0.5199
10,1.0,0.5,500,36254,0.3382,0.0304,50,633.381,Classification_Metric,4,3.0634
10,1.0,0.5,500,36254,0.3033,0.0311,50,798.3838,Normalized_Certainty_Penalty,4,3.1296
10,1.0,0.5,100,328,0.8193,0.098,10,4.1048,Graph_Performance,4,9.8335
10,1.0,0.5,100,328,0.8227,0.0871,10,1.5915,Discernibility,4,8.7471
10,1.0,0.5,500,36254,0.8042,0.0004,50,649.7289,Discernibility,4,0.805
10,1.0,0.5,500,36254,0.7991,0.0093,50,1988.0775,Graph_Performance,4,1.2242
10,1.0,0.5,100,328,0.806,0.1053,10,7.5831,Silhouette,4,10.5583
10,1.0,0.5,500,36254,0.8041,0.0142,50,8603.958,Silhouette,4,1.6311
10,1.0,0.5,100,328,0.8244,0.0925,10,5.3271,Modularity,4,9.2911
10,1.0,0.5,500,36254,0.8015,0.0033,50,7248.368,Modularity,4,0.8669
10,0.5,1.0,100,328,0.7765,0.0884,10,1.6767,Purity,4,8.8699
10,0.5,1.0,100,328,0.589,0.0907,10,2.4171,Precision,4,9.0855
10,0.5,1.0,500,36254,0.6153,0.0007,50,661.5054,Purity,4,0.619
10,0.5,1.0,100,328,0.5248,0.1261,10,4.6687,Entropy,4,12.6176
10,0.5,1.0,500,36254,0.4686,0.0004,50,670.1182,Precision,4,0.47
10,0.5,1.0,500,36254,0.357,0.0334,50,806.5615,Entropy,4,3.3593
10,0.5,1.0,100,328,0.7159,0.0894,10,3.1338,SaNGreeA,4,8.9723
10,0.5,1.0,100,328,0.5803,0.1259,10,1.4643,Classification_Metric,4,12.6045
10,0.5,1.0,500,36254,0.6158,0.0006,50,572.368,SaNGreeA,4,0.6182
10,0.5,1.0,100,328,0.5074,0.1251,10,2.7447,Normalized_Certainty_Penalty,4,12.5233
10,0.5,1.0,500,36254,0.3523,0.0261,50,633.0626,Classification_Metric,4,2.6298
10,0.5,1.0,500,36254,0.3977,0.0011,50,710.3965,Normalized_Certainty_Penalty,4,0.413
10,0.5,1.0,100,328,0.8227,0.0871,10,1.5853,Discernibility,4,8.7471
10,0.5,1.0,100,328,0.8193,0.098,10,5.3985,Graph_Performance,4,9.8335
10,0.5,1.0,500,36254,0.8042,0.0004,50,651.6226,Discernibility,4,0.805
10,0.5,1.0,500,36254,0.7991,0.0093,50,1957.171,Graph_Performance,4,1.2242
10,0.5,1.0,100,328,0.806,0.1053,10,7.5369,Silhouette,4,10.5583
10,0.5,1.0,500,36254,0.7959,0.0098,50,22614.0621,Silhouette,4,1.2654
10,0.5,1.0,100,328,0.8361,0.0834,10,5.5066,Modularity,4,8.3866
10,0.5,1.0,500,36254,0.798,0.0033,50,7220.5127,Modularity,4,0.8648
